Membership No  Date Joined  Active  
    19805      2016-7-7     yes   
    29645      2018-6-15    no    
    96741      2020-11-18   no    
    10574      2019-12-12   yes   
    50742      2019-10-1    yes   
    41914      2019-9-4     no    
    35053      2018-1-14    no    
    56741      2020-8-16    yes   
    97029      2016-2-3     yes   
    97052      2019-4-19    no    
    39306      2018-7-16    yes   
    94618      2018-11-20   yes   
    55504      2017-5-14    no    
    63791      2020-1-19    yes   
    68488      2020-2-25    yes   
    50792      2016-4-17    no    
    80551      2015-1-16    yes   
    39586      2016-11-24   no    
    85519      2020-11-1    yes   
    29629      2017-2-10    yes   
