Membership No  Date Joined  Active  
    27188      2020-10-24   yes   
    23084      2018-6-21    no    
    48511      2019-3-22    yes   
    23688      2016-11-11   yes   
    97049      2016-2-9     no    
    63252      2018-2-18    yes   
    73991      2015-9-12    yes   
    42702      2019-8-13    no    
    24391      2018-10-14   no    
    71033      2017-1-10    no    
    94038      2016-5-9     no    
    87222      2016-8-7     no    
    85347      2018-6-2     yes   
    77643      2015-11-20   yes   
    18602      2019-10-9    yes   
    67142      2017-11-12   yes   
    53325      2017-2-13    yes   
    27183      2017-9-15    no    
    55559      2019-12-11   yes   
    61687      2015-6-4     yes   
